timestamp,gpu0_util_pct,gpu0_mem_used_gb,gpu0_mem_total_gb,gpu1_util_pct,gpu1_mem_used_gb,gpu1_mem_total_gb,active_users,cpu_pct,ram_used_gb
2026-03-18T02:59:58.256961,0,16.78,23.9,0,0,0,0,0.0,4.74
2026-03-18T03:00:58.259317,0,16.78,23.9,0,0,0,0,2.1,4.84
2026-03-18T03:01:58.260806,0,16.78,23.9,0,0,0,1,1.9,4.78
2026-03-18T03:02:58.262099,0,16.78,23.9,0,0,0,1,1.7,4.77
2026-03-18T03:03:58.263365,0,16.78,23.9,0,0,0,0,2.1,4.81
2026-03-18T03:04:58.264710,0,16.78,23.9,0,0,0,0,1.4,4.79
2026-03-18T03:05:58.265668,0,16.78,23.9,0,0,0,0,1.9,4.79
2026-03-18T03:08:10.985136,0,16.78,23.9,0,0,0,0,0.0,4.99
2026-03-18T03:09:10.986929,0,16.78,23.9,0,0,0,0,1.7,5.01
2026-03-18T03:10:10.988257,0,18.7,23.9,0,0,0,1,5.3,5.84
2026-03-18T03:10:21.486845,0,16.88,23.9,0,0,0,1,5.6,5.81
2026-03-18T03:11:10.989244,0,16.88,23.9,0,0,0,1,4.5,5.81
2026-03-18T03:12:10.990528,0,16.88,23.9,0,0,0,1,1.7,5.79
2026-03-18T03:13:10.991921,0,16.88,23.9,0,0,0,1,1.4,5.86
2026-03-18T03:14:10.993364,0,16.88,23.9,0,0,0,1,1.5,5.8
2026-03-18T03:15:10.994321,0,16.88,23.9,0,0,0,1,1.6,5.84
2026-03-18T03:16:10.995408,0,16.88,23.9,0,0,0,1,1.8,5.81
2026-03-18T03:17:10.996474,0,16.88,23.9,0,0,0,1,1.7,5.82
2026-03-18T03:18:10.997413,0,16.88,23.9,0,0,0,1,1.7,5.8
2026-03-18T03:19:10.998365,0,16.88,23.9,0,0,0,0,1.6,5.8
2026-03-18T03:20:10.999313,0,16.88,23.9,0,0,0,0,1.5,5.83
2026-03-18T03:21:11.000325,0,16.88,23.9,0,0,0,0,1.8,5.84
2026-03-18T03:22:11.001324,0,16.88,23.9,0,0,0,0,1.5,5.83
2026-03-18T03:23:09.301950,0,16.78,23.9,0,0,0,0,0.0,5.14
2026-03-18T03:24:09.303695,0,16.78,23.9,0,0,0,1,1.9,5.11
2026-03-18T03:25:09.304689,0,16.78,23.9,0,0,0,1,1.5,5.12
2026-03-18T03:26:09.305718,0,16.78,23.9,0,0,0,1,1.7,5.1
2026-03-18T03:27:09.306817,0,16.78,23.9,0,0,0,1,1.8,5.11
2026-03-18T03:28:09.307863,0,16.78,23.9,0,0,0,0,1.8,5.1
